quiz,answer,wrong1,wrong2,wrong3
3×5+5,20,19,18,21
2×8-1,15,14,16,13
2×9+7,25,23,26,24
2+2+8,12,13,10,11
1+9÷9,2,1,4,3
8×5+1,41,43,42,40
6-1-2,3,2,4,1
8×4-1,31,29,30,32
9×5÷5,9,8,11,10
6-7+9,8,7,10,9
8+5×2,18,19,16,17
6+4+7,17,16,18,15
4×5÷2,10,9,11,8
4+4+7,15,17,16,14
